id;nome;login;senha;data_cadastro;ultimo_acesso;perfil
1;Buckinghamshire transmitting;multimedia;Queijo benchmark Account;2023-04-13T04:53:05;2023-04-13T22:42:52;DISCENTE
2;esmeralda connecting system;FTP Somoni convergence;Amapá Licenciado Bedfordshire;2023-04-13T03:18:15;2023-04-13T03:05:22;DISCENTE
3;Triple-buffered;program Forward;Automotivo Marginal;2023-04-13T00:27:55;2023-04-13T03:41:39;ORIENTADOR
4;Rial;morph;withdrawal empower microchip;2023-04-13T02:20:38;2023-04-13T06:29:43;ORIENTADOR
5;interactive;navigating;circuit Gostoso;2023-04-13T01:21:39;2023-04-13T19:59:58;DISCENTE
6;motivating virtual Lustroso;array Beleza;Pound transmitter bandwidth;2023-04-13T01:33:29;2023-04-13T13:52:58;ORIENTADOR
7;demand-driven methodology;Executive púrpura;bypassing;2023-04-13T04:13:58;2023-04-13T23:56:30;ORIENTADOR
8;concept hack Persevering;Checking Granito Horizontal;payment online benchmark;2023-04-13T14:00:38;2023-04-13T14:14:22;COORDENADOR
9;input Jogos;platforms platforms Fantástico;XML Rústico;2023-04-13T07:44:20;2023-04-13T13:41:44;DISCENTE
10;redundant Engineer Singapura;turquesa input São;Fresco;2023-04-13T16:08:48;2023-04-13T04:30:31;COORDENADOR
